Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
[5]      4.0    0.12    0.00       3         std::chrono::duration<long, std::ratio<1l, 1000000000l> >::count() const [5]
-----------------------------------------------
                0.00    0.08       1/1           main [1]
[6]      2.6    0.00    0.08       1         std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >(std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&, std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&) [6]
                0.00    0.08       1/1           std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<long, std::ratio<1l, 1000000000l>, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&, std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&) [7]
                0.00    0.00       2/2           std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::time_since_epoch() const [81]
-----------------------------------------------
                0.00    0.08       1/1           std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >(std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&, std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&) [6]
[7]      2.6    0.00    0.08       1         std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<long, std::ratio<1l, 1000000000l>, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&, std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&) [7]
                0.08    0.00       2/3           std::chrono::duration<long, std::ratio<1l, 1000000000l> >::count() const [5]
                0.00    0.00       1/1           std::chrono::duration<long, std::ratio<1l, 1000000000l> >::duration<long, void>(long const&) [129]
-----------------------------------------------
                0.05    0.01       1/1           main [1]
[8]      1.9    0.05    0.01       1         histo_values(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, long, int) [8]
                0.01    0.00 16699123/21825525     std::vector<int, std::allocator<int> >::operator[](unsigned long) [11]
                0.00    0.00 16702324/21831928     std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) [20]
                0.00    0.00 4512950/4512950     std::vector<long, std::allocator<long> >::operator[](unsigned long) [22]
                0.00    0.00 2252380/2252380     long const& std::min<long>(long const&, long const&) [30]
                0.00    0.00    4097/4097        bool __gnu_cxx::operator!=<long*, std::vector<long, std::allocator<long> > >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&) [40]
                0.00    0.00    4096/4096        __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::operator*() const [42]
                0.00    0.00    4096/4096        __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::operator++() [41]
                0.00    0.00    3201/9605        std::vector<int, std::allocator<int> >::size() const [31]
                0.00    0.00       1/1           std::vector<long, std::allocator<long> >::vector(unsigned long, long const&, std::allocator<long> const&) [136]
                0.00    0.00       1/3           std::__new_allocator<long>::~__new_allocator() [78]
                0.00    0.00       1/3           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const [77]
                0.00    0.00       1/2           std::vector<int, std::allocator<int> >::vector(unsigned long, int const&, std::allocator<int> const&) [104]
                0.00    0.00       1/3204        std::vector<int, std::allocator<int> >::~vector() [54]
                0.00    0.00       1/2           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::vector(unsigned long, std::vector<int, std::allocator<int> > const&, std::allocator<std::vector<int, std::allocator<int> > > const&) [99]
                0.00    0.00       1/6410        std::__new_allocator<int>::~__new_allocator() [33]
                0.00    0.00       1/6           std::__new_allocator<std::vector<int, std::allocator<int> > >::~__new_allocator() [74]
                0.00    0.00       1/1           std::vector<long, std::allocator<long> >::begin() [135]
                0.00    0.00       1/1           std::vector<long, std::allocator<long> >::end() [134]
                0.00    0.00       1/1           std::vector<long, std::allocator<long> >::~vector() [137]
-----------------------------------------------
                0.00    0.04       1/1           main [1]
[9]      1.3    0.00    0.04       1         std::enable_if<std::chrono::__is_duration<std::chrono::duration<long, std::ratio<1l, 1000000l> > >::value, std::chrono::duration<long, std::ratio<1l, 1000000l> > >::type std::chrono::duration_cast<std::chrono::duration<long, std::ratio<1l, 1000000l> >, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&) [9]
                0.00    0.04       1/1           std::chrono::duration<long, std::ratio<1l, 1000000l> > std::chrono::__duration_cast_impl<std::chrono::duration<long, std::ratio<1l, 1000000l> >, std::ratio<1l, 1000l>, long, true, false>::__cast<long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&) [10]
-----------------------------------------------
                0.00    0.04       1/1           std::enable_if<std::chrono::__is_duration<std::chrono::duration<long, std::ratio<1l, 1000000l> > >::value, std::chrono::duration<long, std::ratio<1l, 1000000l> > >::type std::chrono::duration_cast<std::chrono::duration<long, std::ratio<1l, 1000000l> >, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&) [9]
[10]     1.3    0.00    0.04       1         std::chrono::duration<long, std::ratio<1l, 1000000l> > std::chrono::__duration_cast_impl<std::chrono::duration<long, std::ratio<1l, 1000000l> >, std::ratio<1l, 1000l>, long, true, false>::__cast<long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&) [10]
                0.04    0.00       1/3           std::chrono::duration<long, std::ratio<1l, 1000000000l> >::count() const [5]
                0.00    0.00       1/1           std::chrono::duration<long, std::ratio<1l, 1000000l> >::duration<long, void>(long const&) [130]
-----------------------------------------------
                0.00    0.00 2563201/21825525     plotCentered(double, double, double, double, double, int) [2]
                0.00    0.00 2563201/21825525     output_histo[abi:cxx11](std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) [13]
                0.01    0.00 16699123/21825525     histo_values(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, long, int) [8]
[11]     0.3    0.01    0.00 21825525         std::vector<int, std::allocator<int> >::operator[](unsigned long) [11]
-----------------------------------------------
                                                 <spontaneous>
[12]     0.3    0.01    0.00                 _init [12]
-----------------------------------------------
                0.00    0.00       1/1           main [1]
[13]     0.0    0.00    0.00       1         output_histo[abi:cxx11](std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) [13]
                0.00    0.00 2563201/21825525     std::vector<int, std::allocator<int> >::operator[](unsigned long) [11]
                0.00    0.00 2566402/21831928     std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) [20]
                0.00    0.00 2563201/2563201     std::__cxx11::to_string(int) [27]
                0.00    0.00    3201/9605        std::vector<int, std::allocator<int> >::size() const [31]
                0.00    0.00       1/1           std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&) [139]
                0.00    0.00       1/3           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const [77]
                0.00    0.00       1/2563202     std::__new_allocator<char>::~__new_allocator() [23]
-----------------------------------------------
                0.00    0.00       1/21831928     main [1]
                0.00    0.00 2563201/21831928     plotCentered(double, double, double, double, double, int) [2]
                0.00    0.00 2566402/21831928     output_histo[abi:cxx11](std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) [13]
                0.00    0.00 16702324/21831928     histo_values(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, long, int) [8]
[20]     0.0    0.00    0.00 21831928         std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) [20]
-----------------------------------------------
                0.00    0.00 5126402/5126402     std::pair<double, double>::pair<double&, double&, true>(double&, double&) [25]
[21]     0.0    0.00    0.00 5126402         double& std::forward<double&>(std::remove_reference<double&>::type&) [21]
-----------------------------------------------
                0.00    0.00 4512950/4512950     histo_values(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, long, int) [8]
[22]     0.0    0.00    0.00 4512950         std::vector<long, std::allocator<long> >::operator[](unsigned long) [22]
-----------------------------------------------
                0.00    0.00       1/2563202     output_histo[abi:cxx11](std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) [13]
                0.00    0.00 2563201/2563202     std::__cxx11::to_string(int) [27]
[23]     0.0    0.00    0.00 2563202         std::__new_allocator<char>::~__new_allocator() [23]
-----------------------------------------------
                0.00    0.00 2563201/2563201     escapetime(std::pair<double, double>, int) [3]
[24]     0.0    0.00    0.00 2563201         early_interior(std::pair<double, double>) [24]
-----------------------------------------------
                0.00    0.00 2563201/2563201     plotCentered(double, double, double, double, double, int) [2]
[25]     0.0    0.00    0.00 2563201         std::pair<double, double>::pair<double&, double&, true>(double&, double&) [25]
                0.00    0.00 5126402/5126402     double& std::forward<double&>(std::remove_reference<double&>::type&) [21]
-----------------------------------------------
                0.00    0.00 2563201/2563201     std::__cxx11::to_string(int) [27]
[26]     0.0    0.00    0.00 2563201         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(unsigned long, char, std::allocator<char> const&) [26]
-----------------------------------------------
                0.00    0.00 2563201/2563201     output_histo[abi:cxx11](std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) [13]
[27]     0.0    0.00    0.00 2563201         std::__cxx11::to_string(int) [27]
                0.00    0.00 2563201/2563201     unsigned int std::__detail::__to_chars_len<unsigned int>(unsigned int, int) [28]
                0.00    0.00 2563201/2563202     std::__new_allocator<char>::~__new_allocator() [23]
                0.00    0.00 2563201/2563201     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(unsigned long, char, std::allocator<char> const&) [26]
                0.00    0.00 2563201/2563201     void std::__detail::__to_chars_10_impl<unsigned int>(char*, unsigned int, unsigned int) [29]
-----------------------------------------------
                0.00    0.00 2563201/2563201     std::__cxx11::to_string(int) [27]
[28]     0.0    0.00    0.00 2563201         unsigned int std::__detail::__to_chars_len<unsigned int>(unsigned int, int) [28]
-----------------------------------------------
                0.00    0.00 2563201/2563201     std::__cxx11::to_string(int) [27]
[29]     0.0    0.00    0.00 2563201         void std::__detail::__to_chars_10_impl<unsigned int>(char*, unsigned int, unsigned int) [29]
-----------------------------------------------
                0.00    0.00 2252380/2252380     histo_values(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, long, int) [8]
[30]     0.0    0.00    0.00 2252380         long const& std::min<long>(long const&, long const&) [30]
-----------------------------------------------
                0.00    0.00       1/9605        main [1]
                0.00    0.00    3201/9605        histo_values(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, long, int) [8]
                0.00    0.00    3201/9605        output_histo[abi:cxx11](std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) [13]
                0.00    0.00    3202/9605        std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [61]
[31]     0.0    0.00    0.00    9605         std::vector<int, std::allocator<int> >::size() const [31]
-----------------------------------------------
                0.00    0.00    8194/8194        bool __gnu_cxx::operator!=<long*, std::vector<long, std::allocator<long> > >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&) [40]
[32]     0.0    0.00    0.00    8194         __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::base() const [32]
-----------------------------------------------
                0.00    0.00       1/6410        plotCentered(double, double, double, double, double, int) [2]
                0.00    0.00       1/6410        histo_values(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, long, int) [8]
                0.00    0.00       2/6410        std::vector<int, std::allocator<int> >::_S_check_init_len(unsigned long, std::allocator<int> const&) [102]
                0.00    0.00    3202/6410        std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [61]
                0.00    0.00    3204/6410        std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl() [46]
[33]     0.0    0.00    0.00    6410         std::__new_allocator<int>::~__new_allocator() [33]
-----------------------------------------------
                0.00    0.00       2/6408        std::vector<int, std::allocator<int> >::_M_fill_initialize(unsigned long, int const&) [103]
                0.00    0.00    3202/6408        std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [61]
                0.00    0.00    3204/6408        std::vector<int, std::allocator<int> >::~vector() [54]
[34]     0.0    0.00    0.00    6408         std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() [34]
-----------------------------------------------
                0.00    0.00    3202/6404        std::vector<int, std::allocator<int> >::begin() const [58]
                0.00    0.00    3202/6404        std::vector<int, std::allocator<int> >::end() const [57]
[35]     0.0    0.00    0.00    6404         __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&) [35]
-----------------------------------------------
                0.00    0.00    6404/6404        int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >) [39]
[36]     0.0    0.00    0.00    6404         __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const [36]
-----------------------------------------------
                0.00    0.00    3202/6404        void std::_Destroy_aux<false>::__destroy<std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*) [82]
                0.00    0.00    3202/6404        std::vector<int, std::allocator<int> >* std::__do_uninit_fill_n<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&) [106]
[37]     0.0    0.00    0.00    6404         std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&) [37]
-----------------------------------------------
                0.00    0.00    6404/6404        int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*) [70]
[38]     0.0    0.00    0.00    6404         __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >) [38]
-----------------------------------------------
                0.00    0.00    6404/6404        int* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*) [65]
[39]     0.0    0.00    0.00    6404         int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >) [39]
                0.00    0.00    6404/6404        __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const [36]
-----------------------------------------------
                0.00    0.00    4097/4097        histo_values(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, long, int) [8]
[40]     0.0    0.00    0.00    4097         bool __gnu_cxx::operator!=<long*, std::vector<long, std::allocator<long> > >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&) [40]
                0.00    0.00    8194/8194        __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::base() const [32]
-----------------------------------------------
                0.00    0.00    4096/4096        histo_values(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, long, int) [8]
[41]     0.0    0.00    0.00    4096         __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::operator++() [41]
-----------------------------------------------
                0.00    0.00    4096/4096        histo_values(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, long, int) [8]
[42]     0.0    0.00    0.00    4096         __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::operator*() const [42]
-----------------------------------------------
                0.00    0.00    3204/3204        void std::_Destroy<int*>(int*, int*) [55]
[43]     0.0    0.00    0.00    3204         void std::_Destroy_aux<true>::__destroy<int*>(int*, int*) [43]
-----------------------------------------------
                0.00    0.00    3204/3204        std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long) [48]
[44]     0.0    0.00    0.00    3204         std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long) [44]
                0.00    0.00    3204/3204        std::__new_allocator<int>::allocate(unsigned long, void const*) [53]
-----------------------------------------------
                0.00    0.00    3204/3204        std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&) [50]
[45]     0.0    0.00    0.00    3204         std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&) [45]
                0.00    0.00    3204/3204        std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data() [49]
-----------------------------------------------
                0.00    0.00    3204/3204        std::_Vector_base<int, std::allocator<int> >::~_Vector_base() [51]
[46]     0.0    0.00    0.00    3204         std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl() [46]
                0.00    0.00    3204/6410        std::__new_allocator<int>::~__new_allocator() [33]
-----------------------------------------------
                0.00    0.00    3204/3204        std::_Vector_base<int, std::allocator<int> >::~_Vector_base() [51]
[47]     0.0    0.00    0.00    3204         std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long) [47]
                0.00    0.00    3204/3204        std::__new_allocator<int>::deallocate(int*, unsigned long) [52]
-----------------------------------------------
                0.00    0.00    3204/3204        std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&) [50]
[48]     0.0    0.00    0.00    3204         std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long) [48]
                0.00    0.00    3204/3204        std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long) [44]
-----------------------------------------------
                0.00    0.00    3204/3204        std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&) [45]
[49]     0.0    0.00    0.00    3204         std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data() [49]
-----------------------------------------------
                0.00    0.00       2/3204        std::vector<int, std::allocator<int> >::vector(unsigned long, int const&, std::allocator<int> const&) [104]
                0.00    0.00    3202/3204        std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [61]
[50]     0.0    0.00    0.00    3204         std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&) [50]
                0.00    0.00    3204/3204        std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&) [45]
                0.00    0.00    3204/3204        std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long) [48]
-----------------------------------------------
                0.00    0.00    3204/3204        std::vector<int, std::allocator<int> >::~vector() [54]
[51]     0.0    0.00    0.00    3204         std::_Vector_base<int, std::allocator<int> >::~_Vector_base() [51]
                0.00    0.00    3204/3204        std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long) [47]
                0.00    0.00    3204/3204        std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl() [46]
-----------------------------------------------
                0.00    0.00    3204/3204        std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long) [47]
[52]     0.0    0.00    0.00    3204         std::__new_allocator<int>::deallocate(int*, unsigned long) [52]
-----------------------------------------------
                0.00    0.00    3204/3204        std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long) [44]
[53]     0.0    0.00    0.00    3204         std::__new_allocator<int>::allocate(unsigned long, void const*) [53]
-----------------------------------------------
                0.00    0.00       1/3204        plotCentered(double, double, double, double, double, int) [2]
                0.00    0.00       1/3204        histo_values(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, long, int) [8]
                0.00    0.00    3202/3204        void std::_Destroy<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*) [72]
[54]     0.0    0.00    0.00    3204         std::vector<int, std::allocator<int> >::~vector() [54]
                0.00    0.00    3204/6408        std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() [34]
                0.00    0.00    3204/3204        std::_Vector_base<int, std::allocator<int> >::~_Vector_base() [51]
                0.00    0.00    3204/3204        void std::_Destroy<int*>(int*, int*) [55]
-----------------------------------------------
                0.00    0.00    3204/3204        std::vector<int, std::allocator<int> >::~vector() [54]
[55]     0.0    0.00    0.00    3204         void std::_Destroy<int*>(int*, int*) [55]
                0.00    0.00    3204/3204        void std::_Destroy_aux<true>::__destroy<int*>(int*, int*) [43]
-----------------------------------------------
                0.00    0.00    3202/3202        std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [61]
[56]     0.0    0.00    0.00    3202         std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const [56]
-----------------------------------------------
                0.00    0.00    3202/3202        std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [61]
[57]     0.0    0.00    0.00    3202         std::vector<int, std::allocator<int> >::end() const [57]
                0.00    0.00    3202/6404        __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&) [35]
-----------------------------------------------
                0.00    0.00    3202/3202        std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [61]
[58]     0.0    0.00    0.00    3202         std::vector<int, std::allocator<int> >::begin() const [58]
                0.00    0.00    3202/6404        __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&) [35]
-----------------------------------------------
                0.00    0.00    3202/3202        int* std::__copy_move_a2<false, int const*, int*>(int const*, int const*, int*) [67]
[59]     0.0    0.00    0.00    3202         int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int const, int>(int const*, int const*, int*) [59]
-----------------------------------------------
                0.00    0.00    3202/3202        int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*) [68]
[60]     0.0    0.00    0.00    3202         int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*) [60]
                0.00    0.00    3202/3202        int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*) [70]
-----------------------------------------------
                0.00    0.00    3202/3202        void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&) [62]
[61]     0.0    0.00    0.00    3202         std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [61]
                0.00    0.00    3202/3202        std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const [56]
                0.00    0.00    3202/9605        std::vector<int, std::allocator<int> >::size() const [31]
                0.00    0.00    3202/3204        std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&) [50]
                0.00    0.00    3202/6410        std::__new_allocator<int>::~__new_allocator() [33]
                0.00    0.00    3202/6408        std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() [34]
                0.00    0.00    3202/3202        std::vector<int, std::allocator<int> >::end() const [57]
                0.00    0.00    3202/3202        std::vector<int, std::allocator<int> >::begin() const [58]
                0.00    0.00    3202/3202        int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&) [69]
-----------------------------------------------
                0.00    0.00    3202/3202        std::vector<int, std::allocator<int> >* std::__do_uninit_fill_n<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&) [106]
[62]     0.0    0.00    0.00    3202         void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&) [62]
                0.00    0.00    3202/3202        operator new(unsigned long, void*) [73]
                0.00    0.00    3202/3202        std::vector<int, std::allocator<int> > const& std::forward<std::vector<int, std::allocator<int> > const&>(std::remove_reference<std::vector<int, std::allocator<int> > const&>::type&) [71]
                0.00    0.00    3202/3202        std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [61]
-----------------------------------------------
                0.00    0.00    3202/3202        int* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*) [65]
[63]     0.0    0.00    0.00    3202         int* std::__niter_base<int*>(int*) [63]
-----------------------------------------------
                0.00    0.00    3202/3202        int* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*) [65]
[64]     0.0    0.00    0.00    3202         int* std::__niter_wrap<int*>(int* const&, int*) [64]
-----------------------------------------------
